,gloss,video_id,frames_num
0,book,69241,75
1,book,07069,30
2,book,07068,68
3,book,07070,86
4,book,07099,87
5,book,07074,38
6,drink,69302,77
7,drink,65539,44
8,drink,17710,70
9,drink,17733,93
10,drink,65540,46
11,drink,17734,89
12,drink,17711,81
13,drink,17712,43
14,drink,17713,91
15,drink,17709,105
16,drink,17720,40
17,drink,17721,48
18,drink,17722,48
19,drink,17723,59
20,drink,17724,29
21,computer,12328,88
22,computer,12312,101
23,computer,12311,72
24,computer,12338,107
25,computer,12313,81
26,computer,12314,43
27,computer,12315,57
28,computer,12316,43
29,computer,12317,53
30,computer,12318,45
31,computer,12319,40
32,computer,12320,102
33,computer,12326,73
34,computer,12327,46
35,before,05728,26
36,before,05749,90
37,before,05750,100
38,before,05729,52
39,before,05730,31
40,before,65167,58
41,before,05731,45
42,before,05732,86
43,before,05733,108
44,before,05734,81
45,before,05727,87
46,before,05739,51
47,before,05740,48
48,before,05741,31
49,before,05742,28
50,before,05743,47
51,chair,09848,96
52,chair,09869,93
53,chair,09849,81
54,chair,09850,31
55,chair,09851,92
56,chair,65328,59
57,chair,09854,30
58,go,69345,67
59,go,24955,60
60,go,24956,45
61,go,24941,66
62,go,24960,45
63,go,24961,45
64,go,24962,42
65,go,65824,41
66,go,24973,108
67,go,24943,61
68,go,24946,33
69,go,24947,63
70,go,24940,88
71,go,24952,33
72,go,24954,60
73,clothes,11310,89
74,clothes,11330,83
75,clothes,11311,93
76,clothes,11313,35
77,clothes,11309,67
78,who,69534,63
79,who,63242,86
80,who,63226,67
81,who,63227,36
82,who,63228,40
83,who,63229,47
84,who,63230,61
85,who,63231,93
86,who,66778,58
87,who,63232,155
88,who,66779,54
89,who,63225,111
90,who,63236,45
91,who,63237,45
92,candy,08929,82
93,candy,08916,88
94,candy,08917,32
95,candy,08918,30
96,candy,08919,86
97,candy,08920,75
98,candy,08921,58
99,candy,65298,59
100,candy,08924,28
101,candy,65299,62
102,candy,65300,64
103,candy,08915,94
104,candy,08925,41
105,cousin,65415,70
106,cousin,13647,79
107,cousin,13648,70
108,cousin,13631,71
109,cousin,13632,71
110,cousin,13633,94
111,cousin,13634,96
112,cousin,13635,106
113,cousin,13636,131
114,cousin,13630,106
115,cousin,13640,59
116,cousin,13641,43
117,cousin,13642,39
118,cousin,13646,72
119,deaf,14882,108
120,deaf,14903,82
121,deaf,14883,24
122,deaf,14884,38
123,deaf,14885,26
124,deaf,14886,38
125,deaf,65445,52
126,deaf,14887,62
127,deaf,14888,66
128,deaf,14893,43
129,deaf,14894,39
130,fine,21870,65
131,fine,21890,75
132,fine,21891,77
133,fine,21871,79
134,fine,21872,77
135,fine,21869,84
136,fine,21874,90
137,fine,21878,37
138,fine,21883,32
139,help,69364,75
140,help,27221,77
141,help,27206,71
142,help,27207,58
143,help,27208,68
144,help,27209,59
145,help,65890,59
146,help,27213,49
147,help,27214,53
148,help,65891,59
149,help,65889,62
150,help,27215,30
151,help,27216,53
152,help,27217,63
153,no,69411,67
154,no,38525,65
155,no,38544,83
156,no,38527,46
157,no,38529,107
158,no,38530,53
159,no,38532,44
160,no,38533,53
161,no,66183,68
162,no,38524,80
163,no,38534,53
164,thin,57948,53
165,thin,57949,53
166,thin,57934,90
167,thin,57953,87
168,thin,57935,90
169,thin,57936,29
170,thin,57937,31
171,thin,66606,62
172,thin,57939,37
173,thin,57940,30
174,thin,57941,30
175,thin,57942,73
176,thin,66607,72
177,thin,57933,90
178,thin,57943,119
179,thin,57947,46
180,walk,62175,96
181,walk,62159,87
182,walk,62160,29
183,walk,62163,34
184,walk,62164,81
185,walk,66743,53
186,walk,66742,66
187,walk,62158,94
188,walk,62168,70
189,walk,62169,63
190,walk,62170,41
191,year,64211,51
192,year,64224,94
193,year,64210,79
194,year,64212,52
195,year,66818,53
196,year,64213,97
197,year,66816,58
198,year,64209,70
199,year,64219,27
200,year,64218,58
201,yes,69546,72
202,yes,64287,68
203,yes,64284,56
204,yes,64291,55
205,yes,64292,47
206,yes,64293,53
207,yes,66820,47
208,yes,64280,63
209,yes,64300,90
210,yes,64281,71
211,yes,64288,54
212,yes,64283,22
213,all,69206,89
214,all,02003,76
215,all,01987,75
216,all,01988,144
217,all,01991,49
218,all,01992,59
219,all,65043,61
220,all,01986,83
221,black,69236,63
222,black,06472,91
223,black,06473,56
224,black,06474,80
225,black,06476,32
226,black,06477,23
227,black,06478,44
228,black,65200,47
229,black,06471,77
230,black,06486,111
231,cool,69281,77
232,cool,65403,74
233,cool,13213,55
234,cool,13197,26
235,cool,13216,71
236,cool,13217,74
237,cool,13198,31
238,cool,13199,56
239,cool,13200,23
240,cool,13201,91
241,cool,65402,53
242,cool,13202,76
243,cool,13203,65
244,cool,13196,26
245,cool,13208,57
246,cool,13209,67
247,finish,21942,68
248,finish,21943,28
249,finish,21944,31
250,finish,21945,69
251,finish,21949,44
252,finish,21950,29
253,finish,65721,43
254,finish,21941,56
255,finish,21951,29
256,hot,69368,57
257,hot,28125,71
258,hot,28108,69
259,hot,28109,59
260,hot,28110,35
261,hot,28111,35
262,hot,28112,78
263,hot,28115,33
264,hot,28116,44
265,hot,28107,81
266,like,69389,59
267,like,33266,64
268,like,33285,102
269,like,33267,75
270,like,33286,99
271,like,33268,53
272,like,33269,72
273,like,33270,78
274,like,33273,36
275,like,33274,30
276,many,69396,89
277,many,34823,71
278,many,34824,67
279,many,34825,42
280,many,34826,35
281,many,34827,81
282,many,34830,29
283,many,34831,46
284,many,34832,41
285,many,34839,86
286,mother,69402,82
287,mother,36946,94
288,mother,36930,68
289,mother,36931,82
290,mother,36932,75
291,mother,36933,74
292,mother,36936,38
293,mother,36937,45
294,mother,66147,66
295,mother,66146,61
296,mother,36929,61
297,now,69413,60
298,now,38994,78
299,now,38999,30
300,now,39000,33
301,now,38990,78
302,now,39006,81
303,now,38991,78
304,now,38995,83
305,now,38997,41
306,orange,69422,59
307,orange,40115,84
308,orange,40116,79
309,orange,40117,38
310,orange,40118,88
311,orange,40119,88
312,orange,40121,41
313,orange,66246,64
314,orange,40129,91
315,orange,40130,91
316,table,56557,39
317,table,56579,71
318,table,56558,102
319,table,56556,72
320,table,56563,40
321,thanksgiving,57628,195
322,thanksgiving,57647,83
323,thanksgiving,57629,72
324,thanksgiving,57630,67
325,thanksgiving,57631,68
326,thanksgiving,57632,20
327,thanksgiving,57633,87
328,thanksgiving,57634,58
329,thanksgiving,57635,84
330,thanksgiving,57638,58
331,thanksgiving,57639,60
332,thanksgiving,57640,48
333,thanksgiving,57641,29
334,what,69531,63
335,what,62967,26
336,what,62968,43
337,what,62970,88
338,what,66769,47
339,what,62987,97
340,what,62964,91
341,what,62988,87
342,what,62975,52
343,what,62965,74
344,what,62979,37
345,what,62966,25
346,woman,63679,69
347,woman,63665,72
348,woman,63666,70
349,woman,63667,26
350,woman,63668,32
351,woman,63669,94
352,woman,63672,29
353,woman,63673,42
354,woman,66798,49
355,woman,66799,55
356,woman,63664,121
357,bed,05644,84
358,bed,05629,69
359,bed,05630,87
360,bed,05631,24
361,bed,05632,33
362,bed,05633,27
363,bed,05634,103
364,bed,05636,66
365,bed,65162,53
366,bed,05637,50
367,bed,65163,60
368,bed,65161,58
369,bed,05638,36
370,blue,69238,62
371,blue,06835,79
372,blue,06839,35
373,blue,65216,59
374,blue,06832,64
375,blue,06845,85
376,blue,06833,69
377,blue,06834,49
378,bowling,07389,82
379,bowling,07390,28
380,bowling,07391,26
381,bowling,07392,30
382,bowling,07393,61
383,bowling,07394,98
384,bowling,07397,51
385,bowling,65242,90
386,bowling,65241,61
387,bowling,07388,70
388,bowling,07398,56
389,bowling,07399,65
390,bowling,07400,36
391,can,69257,56
392,can,65294,53
393,can,08955,77
394,can,08935,58
395,can,08936,63
396,can,08937,89
397,can,08938,56
398,can,08942,40
399,can,08944,39
400,dog,69298,81
401,dog,17097,87
402,dog,17084,58
403,dog,17085,77
404,dog,17086,68
405,dog,17087,96
406,dog,17090,51
407,dog,17091,46
408,dog,65506,75
409,dog,65507,57
410,dog,17083,62
411,family,69316,85
412,family,20980,83
413,family,20981,78
414,family,20982,36
415,family,20983,88
416,family,20986,60
417,family,20987,41
418,family,65677,68
419,family,20978,101
420,family,20992,83
421,family,20979,81
422,fish,69325,94
423,fish,22130,85
424,fish,22114,86
425,fish,22115,61
426,fish,22116,30
427,fish,22117,78
428,fish,22120,33
429,fish,22121,50
430,fish,65731,43
431,fish,22113,76
432,graduate,25339,87
433,graduate,25322,57
434,graduate,25323,31
435,graduate,25324,32
436,graduate,25325,32
437,graduate,25326,64
438,graduate,65843,71
439,graduate,25329,49
440,graduate,25330,59
441,graduate,25321,92
442,hat,69359,98
443,hat,26713,68
444,hat,26712,91
445,hat,26739,98
446,hat,26741,65
447,hat,26714,34
448,hat,26715,88
449,hat,26717,36
450,hat,26719,32
451,hearing,65884,73
